CRATER_ID,LAT_CIRC_IMG,LON_CIRC_IMG,LAT_ELLI_IMG,LON_ELLI_IMG,DIAM_CIRC_IMG,DIAM_CIRC_SD_IMG,DIAM_ELLI_MAJOR_IMG,DIAM_ELLI_MINOR_IMG,DIAM_ELLI_ECCEN_IMG,DIAM_ELLI_ELLIP_IMG,DIAM_ELLI_ANGLE_IMG,LAT_ELLI_SD_IMG,LON_ELLI_SD_IMG,DIAM_ELLI_MAJOR_SD_IMG,DIAM_ELLI_MINOR_SD_IMG,DIAM_ELLI_ANGLE_SD_IMG,DIAM_ELLI_ECCEN_SD_IMG,DIAM_ELLI_ELLIP_SD_IMG,ARC_IMG,PTS_RIM_IMG,x,y
10-1-000639,-82.1151,47.5034,-82.113,47.5728,94.6563,2.4151,96.4234,92.165,0.293898,1.0462,55.0668,0.00372086,0.0286398,0.280289,0.313049,2.88445,0.0138977,0.00467722,0.902036,421,176568.83052305933,161776.24918723432
10-1-000644,-82.8032,32.9654,-82.8066,32.7105,49.1802,1.26865,51.0911,45.9002,0.439178,1.11309,70.1193,0.00168004,0.0260688,0.132157,0.208368,1.53899,0.00960218,0.00581569,0.670515,286,118902.99458813906,183336.84396979827
10-1-000645,-83.4169,28.8851,-83.3849,29.0102,17.1661,0.199123,19.839,16.7153,0.538622,1.18688,70.8163,0.00712777,0.0105282,0.399359,0.166456,2.57314,0.0295996,0.0266556,0.644715,73,96534.39654453882,174979.29232258306
10-1-000646,-83.8293,29.9709,-83.8452,30.0603,13.936,0.648219,14.6804,11.841,0.591116,1.23979,21.3524,0.00260986,0.0238344,0.143962,0.232157,2.52542,0.0241271,0.0271785,0.737596,94,93566.29249088225,162251.82569198578
10-1-000705,-81.5713,316.58,-81.5677,316.607,18.151,0.555489,18.7632,17.737,0.326188,1.05786,38.2346,0.00210814,0.0143445,0.200794,0.118717,5.77894,0.0345789,0.0133525,0.818893,141,-175992.55282948798,185976.82452755785
10-1-000706,-80.9667,315.324,-80.9511,315.368,25.2312,1.08061,26.5462,21.9175,0.564205,1.21119,161.68,0.00233049,0.0106557,0.109114,0.176014,1.51187,0.0108998,0.0109268,0.515366,128,-192992.18006738738,195187.3067489736
10-1-000707,-82.1458,319.206,-82.2031,319.23,44.1937,0.976164,45.2863,39.1544,0.502467,1.15661,10.1106,0.00260113,0.00853208,0.0789944,0.187055,0.791457,0.0075663,0.00588234,0.727647,251,-155847.59361919799,180589.40422618415
10-1-000708,-83.9264,338.586,-83.9173,338.587,23.0472,0.847245,25.0214,21.6686,0.500036,1.15473,71.2433,0.00228081,0.0129909,0.159712,0.102052,1.85927,0.0118973,0.00915987,0.842549,196,-67304.98496715738,171618.6299219276
10-1-000709,-84.1992,342.883,-84.198,342.946,14.4169,0.493715,15.7122,12.9276,0.568365,1.2154,100.841,0.000859823,0.0100389,0.0574171,0.0622901,1.23735,0.00720284,0.00734997,0.783427,104,-51815.75094705049,168252.08467110049
10-1-000710,-84.2639,346.836,-84.2639,346.835,10.4466,0.11415,10.6862,10.2116,0.294701,1.04647,77.642,0.000362584,0.00345805,0.0270405,0.0255616,2.58702,0.0110289,0.00372477,1.0,110,-39645.551318595215,169508.6689512651
10-1-000711,-83.7043,352.678,-83.7045,352.696,11.6074,0.120631,11.8582,11.2516,0.315744,1.05391,60.3606,0.000255358,0.00382076,0.0212854,0.0296232,2.29708,0.00908589,0.00335828,0.597205,68,-24354.703625071714,189540.7280098302
10-1-000712,-83.6481,349.597,-83.6487,349.646,13.8439,0.320221,14.6176,13.399,0.399737,1.09095,8.99352,0.000912009,0.0149038,0.117902,0.0644452,3.3541,0.0197388,0.010245,0.801298,91,-34815.53755418311,189639.02143156982
10-1-000714,-83.6626,355.528,-83.6618,355.573,13.9146,0.262646,14.222,13.2612,0.361319,1.07245,97.2572,0.000774418,0.00988877,0.0577109,0.0889376,2.78122,0.0188624,0.00840661,0.810434,98,-14999.248945447822,191781.71187866514
10-1-000715,-84.665,0.595409,-84.6489,0.553917,20.3836,0.58528,21.1579,18.5277,0.482877,1.14196,10.8008,0.00153471,0.01149,0.0794992,0.125139,1.38833,0.0122739,0.00882615,0.788798,154,1682.32730688603,161883.3183164667
10-1-000716,-83.8565,19.6856,-83.8566,19.6827,16.1298,0.281995,16.5094,15.7572,0.298417,1.04774,25.2399,0.000846532,0.00834914,0.0704809,0.0622921,3.83812,0.0177612,0.00609617,0.933435,132,62814.09360998577,175571.98603192772
10-1-000717,-84.431,15.7501,-84.4329,15.7012,18.938,0.909401,20.6076,17.6404,0.516948,1.1682,177.125,0.00175429,0.0256805,0.19023,0.129725,2.35711,0.0167294,0.0137874,0.881897,156,45874.75475727614,162658.5241507544
10-1-000761,-83.0725,53.8539,-83.0725,53.8537,11.1994,0.108264,11.2274,11.1637,0.106388,1.00571,132.56,0.000399926,0.00326642,0.0297072,0.0290852,21.6525,0.0345086,0.00373454,1.0,111,169837.71411463618,124057.22931826579
10-1-000762,-83.8633,34.8375,-83.8487,34.8548,17.3253,0.188599,18.3932,17.2928,0.340685,1.06363,86.1627,0.00442724,0.0158891,0.294892,0.0748231,4.59909,0.0430862,0.0176629,0.670806,90,106403.13257621396,152880.43600666066
10-1-000763,-84.9745,18.3652,-84.9752,18.378,17.7657,0.432244,18.7078,16.8121,0.438632,1.11276,171.714,0.000627215,0.00758132,0.0491931,0.0462345,1.18584,0.00700557,0.00423397,1.0,163,48044.72708496749,144721.1962029994
10-1-000764,-85.4476,347.593,-85.4476,347.593,8.56404,0.130702,8.68588,8.42926,0.24128,1.03044,64.7258,0.00056524,0.00687869,0.0422417,0.0408217,7.42605,0.0267893,0.00707222,1.0,88,-29675.012672974997,134891.11681002262
10-1-000765,-84.6366,350.723,-84.6372,350.717,9.04431,0.292535,9.74553,8.39391,0.508082,1.16102,62.1134,0.000681049,0.00676543,0.0524469,0.0452605,1.65607,0.0111233,0.00884487,1.0,87,-26237.372196029184,160626.36792578653
10-1-000766,-84.679,352.956,-84.6789,353.029,12.6694,0.366188,13.0512,11.7932,0.428361,1.10668,100.099,0.00132496,0.0231347,0.0940979,0.152622,4.29921,0.028238,0.0163947,0.769095,85,-19800.89757243993,160247.9072531169
10-1-000767,-83.5853,329.876,-83.5847,329.896,8.75525,0.199962,9.3617,8.32214,0.457992,1.12491,176.254,0.000278838,0.00348787,0.0284039,0.019723,1.12697,0.0066429,0.00433086,0.848035,75,-97724.04011616015,168420.1799186402
10-1-000768,-82.2762,305.603,-82.2792,305.606,58.9741,1.51965,60.7835,56.9178,0.350927,1.06792,80.7706,0.0021956,0.0160445,0.162972,0.161408,1.92395,0.00975137,0.00416769,1.0,450,-190719.31449291136,136556.72338352492
10-1-000791,-85.5629,307.649,-85.5421,307.44,19.4319,0.350864,21.6709,19.0525,0.476505,1.13743,122.594,0.00285795,0.0349852,0.260234,0.0627796,1.81878,0.0201991,0.0141637,0.69709,110,-106583.8060177423,82225.88622290111
10-1-000792,-84.2854,55.8862,-84.2866,55.8822,15.4528,0.614928,16.9571,13.936,0.569724,1.21679,160.673,0.00110215,0.0135164,0.0948819,0.0801275,1.47632,0.00951127,0.0097622,0.92535,143,143586.7598537668,97265.98989713215
10-1-000793,-85.329,53.2496,-85.3421,54.6342,77.0109,2.84201,87.7554,70.3918,0.597141,1.24667,169.381,0.00339924,0.111408,0.605878,0.286958,0.87778,0.00863928,0.00999563,0.517742,304,113552.19271388407,84794.6788616519
